Data curenta,  ASRock Radeon Challenger ITX RX 6600 8GB GDDR6 1‎28bit (RX6600XT CLI 8G)  ,  ASRock Radeon RX 6600 XT 8GB GDDR6 (RX6600XT CLD 8GO)  ,  ASUS GeForce GT 1030 OC 2GB GDDR5 64bit (PH-GT1030-O2G)  ,  ASUS GeForce GTX 1050 Ti OC 4GB GDDR5 128bit (CERBERUS-GTX1050TI-O4G)  ,  ASUS GeForce GTX 1650 4GB GDDR6 OC (DUAL-GTX1650-O4GD6-MINI)  ,  ASUS GeForce GTX 1650 4GB GDDR6 OC (TUF-GTX1650-O4GD6-P-GAMING)  ,  ASUS GeForce GTX 1660 Ti 6GB DDR6 192bit (TUF-GTX1660TI-T6G-EVO-GAMING)  ,  ASUS GeForce Pheonix V2 RTX 3060 12GB GDDR6 192bit (PH-RTX3060-12G-V2)  ,  ASUS GeForce RTX 2060 DUAL OC EVO 6GB GDDR6 192bit (DUAL-RTX2060-O6G-EVO)  ,  ASUS GeForce RTX 3060 TI 8GB GDDR6 256bit LHR (DUAL-RTX3060TI-O8G-V2)  ,  ASUS GeForce RTX 3060 Ti 8GB OC GDDR6 256bit LHR (DUAL-RTX3060TI-O8G-MINI-V2)  ,  ASUS GeForce RTX 3060 Ti 8GB OC GDDR6 256bit LHR (TUF-RTX3060TI-O8G-V2-GAMING)  ,  ASUS GeForce RTX 3070 Ti OC 8GB GDDR6X 256bit (TUF-RTX3070TI-O8G-GAMING)  ,  ASUS GeForce RTX 3080 10GB OC GDDR6X 320bit (TUF-RTX3080-O10G-V2-GAMING)  ,  ASUS GeForce RTX 3080 Ti 12GB OC GDDR6X 384bit (TUF-RTX3080TI-O12G-GAMING)  ,  ASUS GeForce RTX 3080 Ti OC 12GB GDDR6X 384bit (ROG-STRIX-RTX3080TI-O12G-GAMING)  ,  ASUS RTX 3070 8GB GDDR6 (GC31R-052)  ,  EVGA GeForce RTX 2060 SC GAMING 6GB OC GDDR6 192bit (06G-P4-2062-KR)  ,  EVGA GeForce RTX 3060 XC GAMING 12GB GDDR6 (12G-P5-3657-KR)  ,  GIGABYTE GeForce AORUS XTREME RTX 3080 10GB GDDR6X LHR (GV-N3080AORUS X-10GD 2.0)  ,  GIGABYTE GeForce EAGLE RTX 3060 Ti 8GB GDDR6 256bit LHR (GV-N306TEAGLE-8GD 2.0)  ,  GIGABYTE GeForce GAMING RTX 3080 Ti OC 12GB GDDR6X 384bit (GV-N308TGAMING OC-12GD)  ,  GIGABYTE GeForce GTX 1050 Ti OC 4GB GDDR5 128bit (GV-N105TOC-4GD)  ,  GIGABYTE GeForce GTX 1650 D6 OC 4GB GDDR5 128bit (GV-N1656OC-4GD)  ,  GIGABYTE GeForce GTX 1650 OC Low Profile 4GB GDDR5 128bit (GV-N1650OC-4GL)  ,  GIGABYTE GeForce GTX 1650 SUPER OC 4GB GDDR6 128bit (GV-N165SOC-4GD)  ,  GIGABYTE GeForce GTX 1660 OC 6GB GDDR5 (GV-N1660OC-6GD)  ,  GIGABYTE GeForce GTX 1660 SUPER OC 6GB GDDR6 (GV-N166SOC-6GD)  ,  GIGABYTE GeForce GTX 1660 Ti OC 6GB (GV-N166TOC-6GD)  ,  GIGABYTE GeForce RTX 2060 6GB GDDR6 192bit (GV-N2060D6-6GD)  ,  GIGABYTE GeForce RTX 2060 D6 6GB GDDR6 192bit (GV-N2060D6-6GD 2.0)  ,  GIGABYTE GeForce RTX 2060 SUPER WINDFORCE OC 8GB GDDR6 256bit (GV-N206SWF2OC-8GD)  ,  GIGABYTE GeForce RTX 3060 12GB GDDR6 192bit LHR (GV-N3060EAGLE OC-12GD 2.0)  ,  GIGABYTE GeForce RTX 3060 12GB OC GDDR6 192bit LHR (GV-N3060GAMING OC-12GD 2.0)  ,  GIGABYTE GeForce RTX 3060 GAMING OC 12GB GDDR6 192bit (GV-N3060GAMING OC-12GD)  ,  GIGABYTE GeForce RTX 3060 TI EAGLE OC 8GB GDDR6 256bit LHR (GV-N306TEAGLE OC-8GD 2.0)  ,  GIGABYTE GeForce RTX 3060 Ti 8GB GDDR6 256bit LHR (GV-N306TAORUS E-8GD 2.0)  ,  GIGABYTE GeForce RTX 3060 Ti 8GB OC GDDR6 256bit LHR (GV-N306TGAMINGOC PRO-8GD 3.0)  ,  GIGABYTE GeForce RTX 3060 Ti GAMING OC 8GB GDDR6 256bit LHR (GV-N306TGAMING OC-8GD 2.0)  ,  GIGABYTE GeForce RTX 3070 8G OC GDDR6 256bit LHR (GV-N3070GAMING OC-8GD 2.0)  ,  GIGABYTE GeForce RTX 3070 Ti GAMING OC 8GB GDDR6X 256bit (GV-N307TGAMING OC-8GD)  ,  GIGABYTE GeForce RTX 3090 GAMING OC 24GB GDDR6X (GV-N3090GAMING OC-24GD)  ,  GIGABYTE GeForce RTX 3090 VISION OC 24GB GDDR6X (GV-N3090VISION OC-24GD)  ,  GIGABYTE GeForce TURBO RTX 3080 10GB GDDR6X 320bit LHR (GV-N3080TURBO-10GD 2.0)  ,  GIGABYTE Radeon RX 6600 XT 8GB OC GDDR6 128bit (GV-R66XTGAMINGOC PRO-8GD)  ,  GIGABYTE Radeon RX 6700 XT OC 12GB GDDR6 192bit (GV-R67XTGAMING OC-12GD)  ,  Gainward GeForce RTX 3060 Ti Ghost 8GB GDDR6 256bit (471056224-2270)  ,  Gainward GeForce RTX 3060 Ti Ghost 8GB GDDR6 256bit (NE6306T019P2-190AB/471056224-2270)  ,  KFA2 GeForce 1-Click RTX 3060 Ti 8GB OC GDDR6 256bit LHR (36ISL6MD1VQK)  ,  KFA2 GeForce 1CLICK OC RTX 3060 12GB GDDR6 192bit (36NOL7MD1VOK)  ,  KFA2 GeForce EX 1-Click OC RTX 3060 12GB GDDR6 192bit (36NOL7MD2NEK)  ,  MSI GeForce RTX 3060 Ti 8GB GDDR6 256bit (RTX 3060 Ti GAMING Z TRIO 8G LHR)  ,  MSI GeForce RTX 3060 X 12GB GDRR6 192bit (RTX 3060 GAMING X 12G)  ,  MSI GeForce RTX 3070 8GB GDDR6 256bit (RTX 3070 GAMING Z TRIO 8G LHR)  ,  MSI GeForce RTX 3070 Ti 8GB GDDR6 256bit (RTX 3070 VENTUS 3X 8G OC LHR)  ,  MSI GeForce RTX 3080 Ti 12GB GDDR6X 384bit (RTX 3080 Ti GAMING X TRIO 12G)  ,  MSI GeForce RTX 3080 Ti 12GB GDDR6X 384bit (RTX 3080 Ti SUPRIM X 12G)  ,  MSI GeForce RTX 3090 24GB GDDR6X 384bit (RTX 3090 GAMING X TRIO 24G)  ,  MSI GeForce RTX 3090 24GB GDDR6X 384bit (RTX 3090 SUPRIM X 24G)  ,  MSI RTX 3060 Ti 8GB GDDR6 256bit (RTX 3060 Ti GAMING X 8G LHR)  ,  PNY GeForce XLR8 Gaming Revel EPIC-X RTX 3060 Ti 8GB GDDR6 256bit LHR (VCG3060T8LDFXPPB)  ,  PNY Quadro RTX A4000 16GB GDDR6 256bit (VCNRTX-A4000-PB)  ,  PowerColor Radeon Hellhound RX 6600 XT 8GB OC GDDR6 (AXRX 6600XT 8GBD6-3DHL/OC)  ,  SAPPHIRE Radeon NITRO+ SE RX 6900 XT 16GB DDR6 256bit (11308-03-20G)  ,  SAPPHIRE Radeon PULSE RX 6600 8GB GDDR6 128bit (11310-01-20G)  ,  SAPPHIRE Radeon Pulse RX 6600 XT 8GB GDDR6 (11309-03-20G)  ,  XFX Radeon RX 580 GTS XXX Edition 8GB GDDR5 256bit (RX-580P8DFD6)  ,  ZOTAC GeForce GAMING ArcticStorm RTX 3090 24GB GDDR6X 384bit (ZT-A30900Q-30P)  ,  ZOTAC GeForce GAMING Twin Edge GeForce RTX 3060 Ti OC 8GB GDDR6 256bit (ZT-A30610H-10MLHR)  ,  ZOTAC GeForce GTX 1660 SUPER TWIN FAN 6GB GDDR6 192bit (ZT-T16620F-10L)  ,  ZOTAC GeForce RTX 3060 Twin Edge OC 12GB GDDR6 (ZT-A30600H-10M)  ,  ZOTAC GeForce Twin Edge RTX 3070 8GB GDDR6 256bit (ZT-A30700E-10PLHR)  
2021-10-18,,4299.0,,1349.0,,,,,,,,4499.0,,,,11080.0,,3799.99,,,3999.99,,1442.92,1799.99,,,,,,,,,,3799.0,7033.99,4249.0,4599.99,4684.5,4499.99,,,13499.0,14499.99,,3999.0,5199.99,4199.99,,,3520.0,,,4234.0,,5932.0,,10599.0,,,,,,,,,3799.0,,,,,3599.0,
2021-10-19,,4299.0,,1349.0,,,,,,,,4499.0,,,,11080.0,,3799.99,,,3999.99,,1442.92,1799.99,,,,,,,,,,3799.0,7947.99,4249.0,4599.99,4684.5,4499.99,,,13499.0,14499.99,,3999.0,5199.99,4199.99,,,3520.0,,,4234.0,,5932.0,,10599.0,,,,,,,,,3799.0,,,,,3599.0,
2021-10-20,,4299.0,,1349.0,,,,,,,,4499.0,6378.22,,,11080.0,,3799.99,,,3999.0,,1445.57,1699.99,,,,,,,,,,3799.0,7947.99,4249.0,4398.0,,4499.99,,,13611.92,,,3999.0,5439.99,,,,5999.0,,4699.0,4234.0,,5932.0,,10599.0,,,4299.0,,,,,,3799.0,,,,,3599.0,
2021-10-21,,4299.0,,1349.0,,,,,,,,4499.0,,,,11080.0,,3826.99,,,4880.99,,1436.09,1699.99,,,2754.99,,,,,,,4224.5,,4249.0,4599.0,,,,,13999.0,,,3999.0,5439.99,,,,5999.0,,4699.0,3920.99,,5932.0,,10599.0,,,4299.0,,,,,,3799.0,,,4199.0,,3599.0,5299.99
2021-10-22,,4299.0,,1349.0,,,,,3199.99,,,4499.0,,,,11080.0,,,,,4878.99,,1440.36,1699.99,,,2754.99,,,,,,,4226.0,,4249.0,4599.0,,,,,15393.5,,7999.0,3999.0,5439.99,,,,5999.0,,4699.0,3920.99,,5932.0,,10599.0,,,4299.0,,,,,,,,,4199.0,,3599.0,5299.99
2021-10-23,,4299.0,,1349.0,,,,,3199.99,,,4499.0,,,,11499.0,,,,,4655.99,,1437.44,1799.99,,,2699.99,3100.0,,,,,,3999.0,,4249.0,5999.0,,,,,16522.03,,7999.0,3999.0,5191.5,,,,5999.0,,4699.0,4235.5,,,,10999.0,,,4299.0,,,,,,,,,4199.0,,3599.0,5299.99
2021-10-24,,4299.0,,1349.0,,,,,3199.99,,,4499.0,,,,11048.0,,,,,4319.5,,1438.02,1799.99,,,2699.99,3100.0,,,,,,3999.0,,4249.0,5499.99,,,,,15499.0,,7999.0,3999.0,5568.03,,,,5999.0,,4699.0,4233.0,,,,10999.0,,,4299.0,,,,,,,,,4199.0,,3599.0,5299.99
2021-10-25,,4299.0,,,,,,,3199.99,,,4499.0,,,,11048.0,,,,,4319.5,,1438.02,2580.4,,,2699.0,3100.0,,,,,,3999.0,,4249.0,5499.99,,4499.99,5699.99,,,,7847.54,,6232.82,,,,5999.0,,4699.0,4233.0,,,,10999.0,,17999.99,4399.99,,,,,,,,,4299.0,,3999.0,5299.99
2021-10-26,,3699.0,,,,,,,3299.99,,,4499.0,,,,11048.0,,,,,4319.5,10083.2,1438.02,2565.02,,,2689.99,3100.0,,,,,,3998.99,,4249.0,5899.99,,4899.99,5599.99,,,,7842.74,,,,,,,,5074.0,4235.5,,,,10999.0,,17999.99,4399.99,,,,,,,,14599.0,4299.0,,3996.0,5299.99
2021-10-27,,3699.0,,,,,,,3263.5,,,4499.0,,,,11499.0,,,,,4753.99,10083.2,1947.27,1799.99,,,2689.99,3100.0,,,,,,3998.99,,4249.0,5899.99,,,5599.99,6998.99,15622.0,,,,,,,,,,4899.0,4235.5,,,,9894.0,,17999.99,4799.99,,,,,,,,14599.0,4299.0,,3996.0,5299.99
2021-10-28,,3699.0,,1349.0,,,,,3299.99,,,4699.0,,,,11499.0,4958.81,,,,,10083.2,1947.27,1799.99,,,2689.99,3100.0,,,,,,3998.99,,4499.0,5899.99,4499.99,,5799.0,6998.99,,,,,,,,,,,5074.0,4235.5,,,,10599.0,,17999.99,4799.99,,,,,,,,13699.0,4299.0,,,5299.99
2021-10-29,,3699.0,,,,,,,3299.99,,,4699.0,,,,11499.0,4982.42,,4882.4,,,10131.22,1956.55,2481.16,,,2689.99,3100.0,,,3232.28,,,4226.0,,4499.0,,,,5799.0,,14999.99,,,,,,,,,,5074.0,4235.5,,,,10599.0,,,4799.99,,7135.44,,,,,,13699.0,4299.0,,4372.46,5299.99
2021-10-30,,4518.86,,1349.0,,,,,3299.99,,,4699.0,,,,11499.0,5024.81,,4923.93,,,,1973.19,2449.78,,,2689.99,3100.0,,,3233.94,,,4499.99,,4799.0,,4699.99,,5970.0,6719.99,16433.67,,,,,,,,,,,,,,,10599.0,,,4694.0,,7137.32,,,,,3263.5,,4299.0,,4075.0,5299.99
2021-10-31,,4518.86,,1349.0,,,,,3299.99,,,4699.0,,,,11499.0,,,4923.93,,,,1893.0,2449.78,,,2689.99,3100.0,,,3215.47,,,4230.0,,4799.0,4599.99,4699.99,,5975.5,6998.99,16433.67,,,,,,,,,,5079.0,4239.5,,,,10599.0,,,4799.99,,7137.32,,,,,,,4299.0,,,5299.99
2021-11-01,,4518.86,,1349.0,,,,,3299.99,,,4699.0,,,,11499.0,,,4923.93,,,,1893.0,2449.78,,,2689.99,3100.0,,,3215.47,,,4230.0,,4799.0,4599.99,4699.99,,5975.5,6998.99,16433.67,,,,,,,,,,5079.0,4239.5,,,,10599.0,,,4799.99,,7137.32,,,,,,,4299.0,,,5299.99
2021-11-02,,4518.86,,1349.0,,1883.07,,,3299.99,,,4699.0,,,,11499.0,,,5999.0,,,,1893.0,2449.78,,,2689.99,3100.0,,,3439.0,,,4230.0,,4499.99,4599.99,4699.99,,5975.5,6998.99,15499.0,,,,,,,,,,5079.0,4239.5,,,,10599.0,,,4799.99,,,,,,,,,4299.0,,,5299.99
2021-11-03,,4525.69,,1349.0,,1885.91,,,3299.99,,,4699.0,,,,11499.0,,,5032.77,,,,,1699.99,,,2698.99,3100.0,,,3238.02,,,4231.5,,4499.99,4999.99,4899.99,,5978.0,,15499.0,,,,,,,,3699.0,,5081.0,4241.0,5499.0,,,10599.0,,,,,,,,,,3268.0,,4299.0,,,5299.99
2021-11-04,,4524.45,,1699.99,,1885.39,,,3591.01,,,4699.0,,,,11499.0,,,,,,,1699.99,1800.0,,,2689.99,3100.0,,,3238.02,,3998.99,4499.0,,4899.0,4999.99,4899.99,,,,15499.0,,,,,,,,3699.0,,,4235.5,5499.0,,,10599.0,14999.0,,,,,,,,,3263.5,,4299.0,,,5299.99
2021-11-05,,4530.04,,1476.5,,1499.0,,,4381.76,,,4699.0,,,,11105.5,,,,,,,1624.0,2188.5,,,2689.99,3100.0,,,,,3998.99,4499.0,,4899.0,4999.99,6499.99,,,6719.0,15499.0,,,,,,,,3699.0,,,4281.5,5499.0,,,10599.0,14999.0,,,,,,,,,3263.5,,4299.0,,,5299.99
2021-11-06,,4530.04,,1476.5,,1887.72,,,3347.0,,,4699.0,,,,11499.0,,,,,,,1449.9,1800.0,,1999.0,2689.99,3100.0,,,,,4394.0,,,4786.5,4999.99,6499.99,,,6719.0,15499.0,,,,,,,4299.0,3699.0,,,4099.0,5862.0,,,10599.0,21500.0,,,,,,,,,,,4299.0,,,5299.99
2021-11-07,,4530.04,,1699.99,,1887.72,2879.65,,4381.76,,,4699.0,,,,11138.5,,,,,,,1451.64,2189.5,,,2689.99,3100.0,,,,,4394.0,,,4786.5,4999.99,4999.0,,5499.0,6719.0,15499.0,,,,,,,4299.0,3699.0,,,4099.0,5899.99,,,12299.0,21500.0,,,,,,,,,,,4299.0,,,
2021-11-09,,4529.43,,1699.99,,1887.47,2879.65,,4381.15,,,4911.0,,,,11499.0,,,,,,,1699.99,2186.5,,,2689.99,3100.0,,,3399.99,,4393.0,,,4780.5,4999.99,,,5499.0,6719.0,18499.0,,,,,,,,4381.97,,,4099.0,5499.0,,10499.0,12299.0,21500.0,,,,,,,,,,,5480.02,,,
